Params,Name,Value1,Value2
"(0, 30, 30, 10)",back_6,9.26,0.13
"(0, 30, 30, 20)",back_3,7.66,0.12
"(0, 30, 30, 30)",back_3,7.67,0.12
"(0, 30, 30, 40)",back_3,7.65,0.12
"(0, 30, 30, 50)",back_9,8.88,0.13
"(0, 30, 30, 60)",front_2,8.32,0.12
"(0, 30, 30, 70)",front_4,8.58,0.13
"(0, 30, 30, 80)",front_4,8.28,0.12
"(0, 30, 30, 90)",front_4,8.63,0.13
"(0, 30, 30, 100)",front_9,8.57,0.13
"(0, 30, 40, 0)",back_2,6.52,0.11
"(0, 30, 40, 10)",back_6,8.13,0.12
"(0, 30, 40, 20)",back_3,7.67,0.12
"(0, 30, 40, 40)",back_3,8.65,0.13
"(0, 30, 40, 30)",back_3,7.79,0.12
"(0, 30, 40, 50)",back_9,8.09,0.13
"(0, 30, 40, 60)",back_9,8.15,0.13
"(0, 30, 40, 70)",front_4,7.56,0.12
"(0, 30, 40, 80)",front_4,7.82,0.12
"(0, 30, 40, 90)",front_4,8.13,0.12
"(0, 30, 40, 100)",front_4,7.66,0.12
"(0, 30, 50, 0)",front_2,6.36,0.11
"(0, 30, 50, 10)",back_6,7.62,0.12
"(0, 30, 50, 20)",front_10,8.03,0.12
"(0, 30, 50, 30)",back_3,7.69,0.12
"(0, 30, 50, 40)",back_3,8.42,0.13
"(0, 30, 50, 50)",back_3,7.73,0.12
"(0, 30, 50, 60)",back_9,8.17,0.13
"(0, 30, 50, 70)",back_9,8.14,0.13
"(0, 30, 50, 80)",front_4,7.83,0.12
"(0, 30, 50, 90)",front_4,7.73,0.12
"(0, 30, 50, 100)",front_4,7.48,0.12
"(0, 30, 60, 0)",back_15,6.11,0.11
"(0, 30, 60, 10)",back_3,6.8,0.11
"(0, 30, 60, 20)",front_10,7.09,0.12
"(0, 30, 60, 30)",front_10,7.58,0.12
"(0, 30, 60, 40)",back_3,7.5,0.12
"(0, 30, 60, 50)",back_3,8.52,0.13
"(0, 30, 60, 60)",back_9,7.83,0.12
"(0, 30, 60, 70)",back_3,7.64,0.12
"(0, 30, 60, 80)",back_9,7.32,0.12
"(0, 30, 60, 90)",back_3,7.4,0.12
"(0, 30, 60, 100)",front_4,7.3,0.12
"(0, 30, 70, 0)",back_15,6.15,0.11
"(0, 30, 70, 10)",back_3,7.4,0.12
"(0, 30, 70, 20)",front_11,7.2,0.12
"(0, 30, 70, 30)",front_10,8.16,0.12
"(0, 30, 70, 40)",front_10,6.86,0.12
"(0, 30, 70, 50)",back_3,8.4,0.13
"(0, 30, 70, 60)",back_3,8.59,0.13
"(0, 30, 70, 70)",back_9,7.25,0.12
"(0, 30, 70, 80)",back_3,6.99,0.12
"(0, 30, 70, 90)",back_3,7.08,0.12
"(0, 30, 70, 100)",front_4,7.51,0.12
"(0, 30, 80, 0)",back_10,5.75,0.11
"(0, 30, 80, 20)",front_11,6.71,0.12
"(0, 30, 80, 10)",back_3,7.15,0.12
"(0, 30, 80, 30)",front_10,7.77,0.12
"(0, 30, 80, 40)",front_10,7.45,0.12
"(0, 30, 80, 50)",back_3,7.46,0.12
"(0, 30, 80, 60)",back_3,7.05,0.12
"(0, 30, 80, 70)",back_3,7.35,0.12
"(0, 30, 80, 100)",back_3,7.08,0.12
"(0, 30, 80, 90)",back_3,6.76,0.11
"(0, 30, 80, 80)",back_3,6.98,0.12
"(0, 30, 90, 0)",back_10,5.6,0.11
"(0, 30, 90, 10)",back_3,7.03,0.12
"(0, 30, 90, 20)",back_3,6.33,0.11
"(0, 30, 90, 30)",front_10,6.87,0.12
"(0, 30, 90, 40)",front_10,7.67,0.12
"(0, 30, 90, 60)",back_3,6.87,0.12
"(0, 30, 90, 50)",front_10,7.4,0.12
"(0, 30, 90, 70)",back_3,6.7,0.11
"(0, 30, 90, 80)",back_3,6.83,0.12
"(0, 30, 90, 90)",back_3,6.98,0.12
"(0, 30, 90, 100)",back_3,6.76,0.11
"(0, 30, 100, 0)",back_10,5.61,0.11
"(0, 30, 100, 10)",front_7,6.7,0.11
"(0, 30, 100, 20)",back_10,7.02,0.12
"(0, 30, 100, 30)",front_10,6.91,0.12
"(0, 30, 100, 40)",front_10,8.14,0.12
"(0, 30, 100, 50)",front_10,7.27,0.12
"(0, 30, 100, 60)",front_10,7.36,0.12
"(0, 30, 100, 70)",back_10,6.79,0.12
"(0, 30, 100, 80)",back_3,6.63,0.11
"(0, 30, 100, 90)",back_3,6.83,0.12
"(0, 30, 100, 100)",back_3,7.03,0.12
"(0, 40, 0, 0)",back_6,6.76,0.12
"(0, 40, 0, 10)",back_3,8.83,0.13
"(0, 40, 0, 20)",back_5,10.99,0.14
"(0, 40, 0, 30)",back_5,11.81,0.14
"(0, 40, 0, 40)",back_5,9.97,0.13
"(0, 40, 0, 50)",back_4,9.68,0.13
"(0, 40, 0, 60)",back_3,9.23,0.13
"(0, 40, 0, 70)",front_9,10.18,0.14
"(0, 40, 0, 80)",front_9,9.32,0.13
"(0, 40, 0, 90)",front_9,9.21,0.13
"(0, 40, 0, 100)",front_9,9.21,0.13
"(0, 40, 10, 0)",back_8,7.88,0.12
"(0, 40, 10, 10)",back_3,8.66,0.13
"(0, 40, 10, 20)",back_3,8.36,0.12
"(0, 40, 10, 30)",back_3,10.68,0.14
"(0, 40, 10, 40)",back_4,9.46,0.13
"(0, 40, 10, 50)",back_3,9.31,0.13
"(0, 40, 10, 60)",back_15,9.38,0.13
"(0, 40, 10, 70)",front_9,9.46,0.13
"(0, 40, 10, 80)",front_9,9.24,0.13
"(0, 40, 10, 90)",front_9,10.86,0.14
"(0, 40, 10, 100)",front_9,10.86,0.14
"(0, 40, 20, 0)",back_8,7.54,0.12
"(0, 40, 20, 10)",back_3,9.57,0.13
"(0, 40, 20, 20)",back_3,9.92,0.13
"(0, 40, 20, 30)",back_3,11.32,0.14
"(0, 40, 20, 40)",back_4,10.13,0.13
"(0, 40, 20, 50)",back_4,8.85,0.13
"(0, 40, 20, 70)",front_8,9.55,0.13
"(0, 40, 20, 60)",front_7,8.54,0.12
